Licenca;Protocolo;Fazenda;Nome;Talhao;Tratamento;Bloco;Croqui;Data (dd/mm/yyyy);Ponto;Brix (%);LAI (%);PBU (g);Peso kg/m
1;3;180;SANTA TEREZINHA;2;CTC 22;B1;25;10/03/2020;1;19,59;72,30;124,38;19,16
1;3;180;SANTA TEREZINHA;2;CT00 2572;B1;26;10/03/2020;1;18,10;61,67;121,29;12,39
1;3;180;SANTA TEREZINHA;2;CTC 6;B1;27;10/03/2020;1;19,38;71,83;141,91;11,46
1;3;180;SANTA TEREZINHA;2;CT99 3615;B1;28;10/03/2020;1;20,15;74,59;128,68;11,66
1;3;180;SANTA TEREZINHA;2;CT99 3615;B2;29;10/03/2020;1;16,83;56,88;108,38;20,37
1;3;180;SANTA TEREZINHA;2;CTC 6;B2;30;10/03/2020;1;18,97;68,81;129,34;17,44
1;3;180;SANTA TEREZINHA;2;CTC 22;B2;31;10/03/2020;1;19,54;73,85;135,41;11,89
1;3;180;SANTA TEREZINHA;2;CT00 2572;B2;32;10/03/2020;1;18,55;66,54;120,24;18,43
1;3;180;SANTA TEREZINHA;2;CT00 2572;B3;33;10/03/2020;1;16,86;56,75;108,93;16,43
1;3;180;SANTA TEREZINHA;2;CTC 22;B3;34;10/03/2020;1;20,22;75,27;137,97;5,93
1;3;180;SANTA TEREZINHA;2;CT99 3615;B3;35;10/03/2020;1;19,50;70,77;134,74;15,22
1;3;180;SANTA TEREZINHA;2;CTC 6;B3;36;10/03/2020;1;20,54;77,70;130,64;17,16
1;3;180;SANTA TEREZINHA;2;CTC 22;B1;25;01/07/2020;1;19,78;75,26;126,43;13,98
1;3;180;SANTA TEREZINHA;2;CT00 2572;B1;26;01/07/2020;1;21,03;80,86;133,93;15,73
1;3;180;SANTA TEREZINHA;2;CTC 6;B1;27;01/07/2020;1;19,61;74,02;133,00;16,35
1;3;180;SANTA TEREZINHA;2;CT99 3615;B1;28;01/07/2020;1;20,44;76,77;133,77;11,23
1;3;180;SANTA TEREZINHA;2;CT99 3615;B2;29;01/07/2020;1;17,10;58,91;125,24;8,05
1;3;180;SANTA TEREZINHA;2;CTC 6;B2;30;01/07/2020;1;20,38;76,33;132,52;16,22
1;3;180;SANTA TEREZINHA;2;CTC 22;B2;31;01/07/2020;1;18,16;65,51;117,47;18,12
1;3;180;SANTA TEREZINHA;2;CT00 2572;B2;32;01/07/2020;1;18,95;67,01;133,42;7,52
1;3;180;SANTA TEREZINHA;2;CT00 2572;B3;33;01/07/2020;1;19,68;70,59;134,47;17,79
1;3;180;SANTA TEREZINHA;2;CTC 22;B3;34;01/07/2020;1;19,32;68,76;133,44;17,81
1;3;180;SANTA TEREZINHA;2;CT99 3615;B3;35;01/07/2020;1;19,75;72,78;138,07;13,42
1;3;180;SANTA TEREZINHA;2;CTC 6;B3;36;01/07/2020;1;17,08;58,84;103,45;21,67
